"Team name","Team","Season","GP","PTS","PTS/GP","TOI","Leading","Tied","Trailing","GF","GA","G±","GF_","GA_","G_±","GF_/60","GA_/60","EQ TOI","EQ GF","EQ GA","EQ G±","EQ GF/60","EQ GA/60","PP TOI","PP OP","PP%","PP GF","PP GA","PP G±","PP GF/60","SH TOI","SH SI","PK%","SH GF","SH GA","SH G±","SH GA/60","GF EN","GA EN","GF SO","GA SO","SH%","SV%","PDO","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spect. / GP","Spect. / GP - Home","Spect. / GP - Away"
"EHC Biel-Bienne","EHCB","2018/2019","50","79","1.58","3018.4","36.13","34.7","29.16","149","138","11","139","131","8","2.76","2.6","2405.1","107","105","2","2.67","2.62","323.1","199","17.59","35","3","32","6.5","290.2","180","83.33","5","30","-25","6.2","8","7","2","0","8.88","90.92","99.8","1227","1524","44.6","2","216","1","9","1","547","6426","6028","6823"
"EV Zug","EVZ","2018/2019","50","97","1.94","3018.6","47.46","32.04","20.5","159","115","44","152","106","46","3.02","2.11","2368.7","107","78","29","2.71","1.98","327.2","204","21.08","43","7","36","7.88","322.6","193","84.97","8","29","-21","5.39","6","8","1","1","10.16","92.7","102.86","1344","1443","48.22","2","224","2","18","2","678","6792","6952","6632"
"Genève-Servette HC","GSHC","2018/2019","50","75","1.5","3023.5","33.17","33.92","32.91","137","150","-13","127","142","-15","2.52","2.82","2457.2","96","108","-12","2.34","2.64","304","185","20","37","7","30","7.3","262.2","169","79.88","2","34","-32","7.78","8","7","2","1","8.14","90.19","98.33","1507","1309","53.52","3","210","2","13","2","600","6330","6019","6640"
"HC Ambri-Piotta","HCAP","2018/2019","50","79","1.58","3031","35.36","36.01","28.63","138","140","-2","129","131","-2","2.55","2.59","2403.7","88","101","-13","2.2","2.52","313.7","193","20.73","40","2","38","7.65","313.6","193","81.87","8","35","-27","6.7","7","7","2","2","8.65","91.15","99.8","1423","1491","48.83","1","227","1","3","1","509","6281","5489","7073"
"HC Davos","HCD","2018/2019","50","51","1.02","3012.7","24.01","27.78","48.21","121","167","-46","115","160","-45","2.29","3.19","2478.2","88","130","-42","2.13","3.15","221.5","135","20","27","4","23","7.31","312.9","180","81.67","4","33","-29","6.33","4","7","2","0","8.62","90.3","98.92","1393","1529","47.67","1","223","4","8","5","646","5766","4307","7226"
"HC Fribourg-Gottéron","HCFG","2018/2019","50","74","1.48","3018.9","29.5","31.5","38.99","125","125","0","118","112","6","2.35","2.23","2435.8","96","78","18","2.36","1.92","282","171","14.62","25","5","20","5.32","301.1","183","77.6","3","41","-38","8.17","6","12","1","1","8.08","91.89","99.97","1570","1248","55.71","3","224","4","7","4","618","6535","6077","6993"
"HC Lugano","HCL","2018/2019","50","78","1.56","3016.2","40.75","27.34","31.91","160","141","19","151","132","19","3","2.63","2420.1","130","95","35","3.22","2.36","287.1","165","15.76","26","2","24","5.43","309.1","197","78.68","3","42","-39","8.15","8","7","1","2","10.27","91.34","101.61","1394","1428","49.4","0","231","4","12","4","682","6642","6301","6983"
"Lausanne HC","LHC","2018/2019","50","82","1.64","3019.2","34.25","38.9","26.85","141","126","15","133","117","16","2.64","2.33","2502.9","103","94","9","2.47","2.25","272.3","162","19.75","32","1","31","7.05","244","150","80.67","5","29","-24","7.13","7","7","1","2","9.05","92.52","101.57","1239","1317","48.47","0","160","5","5","5","495","6618","6498","6737"
"SC Bern","SCB","2018/2019","50","101","2.02","3017.8","45.21","31.03","23.75","143","99","44","134","91","43","2.66","1.81","2449.4","101","71","30","2.47","1.74","326.4","197","19.29","38","4","34","6.98","241.9","147","84.35","4","23","-19","5.7","9","7","0","1","8.45","93.3","101.76","1429","1328","51.83","4","177","6","14","7","664","11340","16290","6390"
"SC Rapperswil-Jona Lakers","SCRJ","2018/2019","50","32","0.64","3013.5","18.01","30.32","51.67","92","167","-75","86","159","-73","1.71","3.17","2431.7","59","123","-64","1.46","3.03","279.3","170","15.88","27","7","20","5.8","302.5","186","80.65","6","36","-30","7.14","6","7","0","1","6.92","90.69","97.6","1454","1449","50.09","2","200","2","12","2","570","5693","3985","7401"
"SCL Tigers","SCLT","2018/2019","50","78","1.56","3031.2","31.74","36.63","31.63","132","126","6","119","118","1","2.36","2.34","2449.1","96","90","6","2.35","2.2","283.8","181","17.68","32","7","25","6.76","298.3","178","85.96","3","25","-22","5.03","12","4","1","4","8.07","91.23","99.3","1345","1343","50.04","3","197","2","9","4","574","6592","5747","7438"
"ZSC Lions","ZSC","2018/2019","50","74","1.48","3023.1","29.07","30.36","40.57","129","132","-3","120","124","-4","2.38","2.46","2453.1","94","92","2","2.3","2.25","273.9","174","17.24","30","5","25","6.57","296.1","180","80.56","3","35","-32","7.09","7","8","2","0","7.51","91.12","98.63","1508","1424","51.43","2","209","5","7","4","593","8374","9694","7053"