"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2018/2019","50","3003.58","52.35","54.12","52.23","51.1","52.29","140.14","127.57","2.8","2.55","8.49","7.19","147.75","125.28","2.95","2.5","2879.47","2633.53","57.52","52.61","2144.03","2051.55","42.83","40.98","1543.29","1407.9","30.83","28.12","110.13","9.08","90.94","100.02","6.54","93.78","56.05","1158","908","23.13","18.14","71.09","28.91","65.86","34.14","53.6","53.46","11.69","12.26","5.79","10.91","6.93","15.5"
"EVZ","2018/2019","50","3003.13","59.63","54.72","52.25","51.37","51.78","150.33","101.78","3","2.03","6.6","8.66","145.31","120.25","2.9","2.4","2905.95","2655.96","58.06","53.06","2184.54","2067.65","43.65","41.31","1521.98","1417.52","30.41","28.32","111.12","9.88","92.82","102.7","6.88","95.08","52.27","992","906","19.82","18.1","66.87","33.13","64.58","35.42","52.37","53.37","11.59","12.57","6.19","14.23","6.67","13.03"
"GSHC","2018/2019","50","3004.22","47.69","49.75","49.96","51.29","52.2","126.64","138.89","2.53","2.77","8.12","7.1","128.28","129.57","2.56","2.59","2688.67","2693.32","53.7","53.79","2136.04","2028.56","42.66","40.51","1548.21","1417.65","30.92","28.31","107.49","8.18","90.2","98.38","5.93","93.15","48.79","927","973","18.51","19.43","57.33","42.67","63.85","36.15","57.58","52.64","12.41","12.08","7.03","22.55","6.45","24.81"
"HCAP","2018/2019","50","3007.85","49.82","48.09","51.57","50.51","50.35","128.57","129.51","2.56","2.58","7.21","7.34","112.73","121.67","2.25","2.43","2897.96","2721.31","57.81","54.28","2085.03","2043.04","41.59","40.75","1477.1","1456.57","29.46","29.06","112.09","8.7","91.11","99.81","6.17","93.66","45.85","768","907","15.32","18.09","63.89","36.11","65.04","34.96","50.97","53.52","13.56","12.43","8.2","16.79","6.83","11.07"
"HCD","2018/2019","50","3000","41.58","38.2","44.12","43.05","43.53","113.48","159.41","2.27","3.19","4.13","7.16","88.05","142.47","1.76","2.85","2439.77","3090.32","48.8","61.81","1812.45","2397.94","36.25","47.96","1295.6","1680.45","25.91","33.61","110.6","8.76","90.51","99.27","6.26","93.35","39.68","692","1052","13.84","21.04","62.73","37.27","67.81","32.19","53.1","54.38","13.54","12.14","7.27","20.16","7.21","19.37"
"HCFG","2018/2019","50","3003.27","50.65","56.44","52.14","51.75","51","115.62","112.66","2.31","2.25","6.68","12.82","135.51","104.58","2.71","2.09","2864.75","2629.72","57.23","52.54","2152.18","2006.83","43","40.09","1431.56","1375.45","28.6","27.48","109.77","8.08","91.81","99.89","5.37","94.39","54.83","914","753","18.26","15.04","66.45","33.55","60.12","39.88","49.97","52.3","12.15","13.15","6.67","14.04","7.71","16.01"
"HCL","2018/2019","50","3002.62","52.83","49.57","48.97","49.67","49.3","147.57","131.77","2.95","2.63","7.94","7.27","121.85","123.97","2.43","2.48","2726.72","2841.39","54.49","56.78","2102.63","2130.16","42.02","42.57","1466.17","1507.73","29.3","30.13","111.27","10.06","91.26","101.33","7.02","93.81","51.81","958","891","19.14","17.8","66.19","33.81","62.83","37.17","53.77","53.06","12.07","12.78","8.01","17.22","7.89","23.56"
"LHC","2018/2019","50","3003.17","52.93","51.35","47.45","49.2","48.87","131.12","116.58","2.62","2.33","6.95","7.33","129.21","122.42","2.58","2.45","2738.02","3032","54.7","60.58","2129.04","2198.61","42.54","43.93","1463.52","1531.09","29.24","30.59","115.28","8.96","92.39","101.34","6.16","94.7","52.89","1026","914","20.5","18.26","59.87","40.13","62.43","37.57","53.45","50.5","11.95","13.08","7.43","14.78","7.35","14.34"
"SCB","2018/2019","50","3002.25","59.43","55.38","54.72","54.29","54.91","132.49","90.44","2.65","1.81","9.38","7.33","136.85","110.28","2.73","2.2","3097.6","2563.25","61.91","51.23","2220.43","1869.85","44.38","37.37","1606.3","1319.17","32.1","26.36","113.13","8.25","93.14","101.39","5.97","95.16","52.39","909","826","18.17","16.51","61.28","38.72","63.37","36.63","51.86","51.46","12.69","12.75","6.99","24.96","7.73","18.09"
"SCLT","2018/2019","50","3006.03","49.96","49.76","51.87","54.71","52.11","118.3","118.48","2.36","2.36","12.65","4.35","124.58","125.75","2.49","2.51","2924.1","2713.74","58.36","54.17","2347.13","1943.15","46.85","38.79","1449.56","1332.17","28.93","26.59","112.53","8.16","91.11","99.27","5.04","93.9","49.47","885","904","17.66","18.04","68.08","31.92","64.67","35.33","49.57","49.09","12.7","12.42","7.4","13.39","7.08","14.21"
"SCRJ","2018/2019","50","3002.95","34.9","40.47","42.48","41.01","40.73","83.94","156.54","1.68","3.13","6.29","7.21","104.67","153.98","2.09","3.08","2388.08","3233.87","47.71","64.61","1724.48","2480.77","34.46","49.57","1191.21","1733.74","23.8","34.64","112.33","7.05","90.97","98.02","4.87","93.69","38.99","735","1150","14.69","22.98","65.62","34.38","66.5","33.5","49.88","53.61","13.19","11.9","6.68","16.33","6.67","16.23"
"ZSC","2018/2019","50","3002.2","49.04","51.05","52.29","52.16","53.11","116.72","121.28","2.33","2.42","7.39","8.05","131.02","125.61","2.62","2.51","2938.23","2680.9","58.72","53.58","2172.56","1992.43","43.42","39.82","1578.24","1393.32","31.54","27.85","112.3","7.4","91.3","98.69","5.37","93.91","55.58","1096","876","21.9","17.51","63.12","36.88","65.2","34.8","53.71","51.97","12.55","12.45","7.14","13.37","6.54","12.48"