Team name,Team,Season,GP,PTS,PTS/GP,TOI,Leading%,Tied%,Trailing%,GF,GA,G±,GF_,GA_,G_±,GF_/60,GA_/60,EQ TOI,EQ GF,EQ GA,EQ G±,EQ GF/60,EQ GA/60,PP TOI,PP OP,PP%,PP GF,PP GA,PP G±,PP GF/60,SH TOI,SH SI,PK%,SH GF,SH GA,SH G±,SH GA/60,GF EN,GA EN,GF SO,GA SO,SH%,SV%,PDO,CF,CF/60,CA,CA/60,CF%,FF,FF/60,FA,FA/60,FF%,SF,SF/60,SA,SA/60,SF%,Pace/60,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spect. / GP,Spect. / GP - Home,Spect. / GP - Away
EV Zug,EVZ,2020/2021,52,119,2.29,3171.4,48.09,36.93,14.98,197,128,69,186,122,64,3.52,2.31,2516.5,146,88,58,3.48,2.1,340.2,217,21.2,46,3,43,8.11,314.8,197,82.74,3,34,-31,6.48,9,3,2,3,10.56,92.67,103.23,3099,58.63,3012,56.98,50.71,2263,42.81,2146,40.6,51.33,1770,33.49,1668,31.56,51.48,115.61,463,30,836,448,30,866,1593,1532,50.98,2,216,2,11,2,592,470,345,595
HC Lugano,HCL,2020/2021,52,92,1.77,3142.7,34.42,34.09,31.49,160,137,23,151,130,21,2.88,2.48,2487.1,112,102,10,2.7,2.46,320.3,193,21.24,41,3,38,7.68,335.4,205,84.39,6,32,-26,5.73,8,7,1,0,8.47,92.18,100.66,3299,62.98,3183,60.77,50.89,2368,45.21,2296,43.83,50.77,1790,34.17,1670,31.88,51.73,123.75,526,52,931,587,39,887,1559,1515,50.72,3,215,2,19,2,670,365,387,343
HC Fribourg-Gottéron,HCFG,2020/2021,51,90,1.76,3087.6,41.86,30.54,27.6,159,151,8,153,146,7,2.97,2.84,2521.1,114,113,1,2.71,2.69,261.4,174,23.56,41,3,38,9.41,305.1,186,81.72,2,34,-32,6.69,4,4,2,1,9.16,91.46,100.61,3006,58.41,3154,61.29,48.8,2177,42.3,2280,44.31,48.84,1675,32.55,1713,33.29,49.44,119.71,464,38,829,535,32,874,1411,1475,48.89,3,194,1,4,1,453,421,413,429
ZSC Lions,ZSC,2020/2021,52,90,1.73,3162.9,39.81,35.09,25.1,170,143,27,161,133,28,3.05,2.52,2494.1,117,105,12,2.81,2.53,343.7,222,19.37,43,3,40,7.51,325.1,199,83.92,8,32,-24,5.91,7,7,2,3,8.94,91.56,100.5,3289,62.39,2801,53.14,54.01,2364,44.85,2069,39.25,53.33,1807,34.28,1582,30.01,53.32,115.53,518,39,925,464,23,732,1576,1477,51.62,2,219,2,5,3,558,975,1414,536
Lausanne HC,LHC,2020/2021,51,89,1.75,3096.2,35.63,36.07,28.3,159,125,34,146,119,27,2.83,2.31,2424.7,120,84,36,2.97,2.08,330.4,192,15.62,30,2,28,5.45,341.1,209,82.3,6,37,-31,6.51,10,4,3,2,8.19,92.45,100.65,3268,63.33,3002,58.18,52.12,2386,46.24,2097,40.64,53.22,1792,34.73,1581,30.64,53.13,121.51,562,32,882,487,29,905,1554,1404,52.54,2,234,5,14,8,793,721,586,851
Genève-Servette HC,GSHC,2020/2021,50,84,1.68,3037.7,40.88,31.93,27.18,167,129,38,157,123,34,3.1,2.43,2439.6,115,93,22,2.83,2.29,297.6,198,21.72,43,4,39,8.67,300.5,179,83.24,6,30,-24,5.99,7,4,3,2,9.38,92.35,101.73,2980,58.86,2783,54.97,51.71,2172,42.9,2104,41.56,50.8,1681,33.2,1612,31.84,51.05,113.83,457,34,808,462,30,679,1439,1331,51.95,0,204,7,11,9,733,455,493,414
EHC Biel-Bienne,EHCB,2020/2021,48,78,1.62,2912.7,32.74,34.01,33.25,149,137,12,141,131,10,2.9,2.7,2296.8,102,94,8,2.66,2.46,328.9,198,20.71,41,7,34,7.48,287.0,179,80.45,4,35,-31,7.32,6,5,2,1,8.73,90.91,99.63,3072,63.28,2614,53.85,54.03,2196,45.24,1868,38.48,54.04,1622,33.41,1446,29.79,52.87,117.13,548,26,876,389,33,746,1308,1395,48.39,0,200,2,8,4,570,321,514,128
HC Davos,HCD,2020/2021,51,74,1.45,3094.2,31.37,33.85,34.78,174,177,-3,164,167,-3,3.18,3.24,2453.1,122,132,-10,2.98,3.23,342.4,217,17.97,39,6,33,6.83,298.7,185,79.46,11,38,-27,7.63,8,9,2,1,10.37,90.51,100.88,2918,56.58,3079,59.7,48.66,2123,41.17,2326,45.1,47.72,1589,30.81,1769,34.3,47.32,116.29,481,53,795,527,30,753,1510,1623,48.2,3,191,1,11,1,517,308,146,463
SC Bern,SCB,2020/2021,48,56,1.17,2910.2,31.65,28.55,39.8,129,156,-27,124,146,-22,2.56,3.01,2353.9,90,118,-28,2.29,3.01,291.4,173,20.23,35,5,30,7.21,264.9,163,81.6,3,30,-27,6.8,4,7,1,3,8.25,90.52,98.77,2797,57.67,2902,59.83,49.08,2012,41.48,2097,43.23,48.97,1507,31.07,1547,31.89,49.35,117.5,485,20,785,511,39,805,1358,1452,48.33,2,172,3,9,3,509,572,604,540
SC Rapperswil-Jona Lakers,SCRJ,2020/2021,50,56,1.12,3025.9,24.39,33.82,41.79,141,180,-39,132,171,-39,2.62,3.39,2421.6,108,121,-13,2.68,3.0,284.7,175,16.0,28,10,18,5.9,319.6,197,76.65,4,46,-42,8.64,8,6,1,3,8.74,89.76,98.5,2832,56.16,3103,61.53,47.72,2037,40.39,2206,43.74,48.01,1519,30.12,1676,33.23,47.54,117.69,484,34,795,484,46,897,1376,1530,47.35,1,214,4,6,4,588,454,425,482
HC Ambri-Piotta,HCAP,2020/2021,51,50,0.98,3093.0,18.91,41.35,39.74,107,158,-51,103,147,-44,2.0,2.85,2337.0,65,106,-41,1.67,2.72,364.6,214,17.29,37,10,27,6.09,391.5,244,83.61,4,40,-36,6.13,3,9,1,2,6.29,91.29,97.57,2961,57.44,3176,61.61,48.25,2151,41.73,2265,43.94,48.71,1641,31.83,1696,32.9,49.18,119.05,489,21,810,531,38,911,1640,1502,52.2,3,256,7,11,7,797,532,384,686
SCL Tigers,SCLT,2020/2021,52,34,0.65,3143.5,15.47,32.08,52.45,107,198,-91,103,186,-83,1.97,3.55,2453.7,81,136,-55,1.98,3.33,333.9,196,10.71,21,5,16,3.77,355.9,226,74.78,4,57,-53,9.61,3,12,1,0,6.98,90.21,97.19,2743,52.36,3455,65.95,44.26,1974,37.68,2469,47.13,44.43,1478,28.21,1911,36.48,43.61,118.3,463,33,769,515,43,986,1496,1584,48.57,2,235,1,9,2,605,308,196,420
EV Zug,EVZ,2021/2022,52,100,1.92,3162.4,38.8,32.22,28.98,177,127,50,172,123,49,3.26,2.33,2525.5,125,99,26,2.97,2.35,320.5,203,20.2,41,5,36,7.68,316.5,187,87.7,9,23,-14,4.36,3,4,2,0,9.99,92.03,102.02,3106,58.93,2905,55.12,51.67,2260,42.88,2135,40.51,51.42,1725,32.73,1547,29.35,52.72,114.04,511,24,846,550,38,770,1458,1459,49.98,2,204,5,3,3,523,6353,6708,5997
ZSC Lions,ZSC,2021/2022,52,96,1.85,3164.8,37.37,39.55,23.08,169,130,39,158,123,35,3.0,2.33,2548.0,121,86,35,2.85,2.03,303.4,187,20.86,39,6,33,7.71,313.4,184,80.43,7,36,-29,6.89,9,5,2,2,9.25,92.21,101.46,3173,60.16,2817,53.41,52.97,2311,43.81,2019,38.28,53.37,1717,32.55,1584,30.03,52.01,113.56,549,45,862,415,20,798,1652,1352,54.99,4,205,7,0,7,585,6883,8020,5745
HC Fribourg-Gottéron,HCFG,2021/2022,50,94,1.88,3024.6,42.55,32.99,24.46,159,124,35,150,118,32,2.98,2.34,2497.0,122,96,26,2.93,2.31,258.0,157,21.02,33,3,30,7.68,269.7,158,84.81,3,24,-21,5.34,8,5,1,1,10.11,92.06,102.18,2730,54.16,2862,56.77,48.82,1981,39.3,2018,40.03,49.54,1491,29.58,1492,29.6,49.98,110.93,471,19,749,502,24,844,1354,1365,49.8,0,187,3,2,3,469,7266,8324,6208
SC Rapperswil-Jona Lakers,SCRJ,2021/2022,52,94,1.81,3146.2,34.15,36.03,29.81,164,135,29,147,123,24,2.8,2.35,2573.7,121,103,18,2.82,2.4,300.1,184,17.93,33,2,31,6.6,272.4,169,82.84,7,29,-22,6.39,14,11,3,1,9.44,91.67,101.11,2910,55.5,2805,53.49,50.92,2101,40.07,2068,39.44,50.4,1571,29.96,1488,28.38,51.36,108.99,506,24,809,547,33,737,1491,1356,52.37,3,178,6,0,4,466,4912,3927,5897
Genève-Servette HC,GSHC,2021/2022,52,88,1.69,3164.4,37.34,34.06,28.6,151,130,21,141,125,16,2.67,2.37,2595.2,98,84,14,2.27,1.94,317.8,204,22.06,45,10,35,8.5,251.4,170,80.0,5,34,-29,8.11,7,3,3,2,8.63,91.47,100.11,3127,59.29,2793,52.96,52.82,2296,43.53,2016,38.23,53.25,1640,31.1,1469,27.85,52.75,112.25,629,27,831,513,34,777,1505,1262,54.39,1,195,5,0,5,515,5627,4833,6420
HC Davos,HCD,2021/2022,51,88,1.73,3075.2,41.43,29.26,29.32,148,125,23,144,121,23,2.81,2.36,2507.8,107,96,11,2.56,2.3,292.4,185,18.92,35,4,31,7.18,274.9,166,84.94,5,25,-20,5.46,3,4,1,0,9.55,92.43,101.98,2825,55.12,3013,58.79,48.39,2108,41.13,2185,42.63,49.1,1511,29.48,1603,31.28,48.52,113.91,563,34,717,559,23,828,1345,1506,47.18,0,179,8,1,7,548,5084,3988,6224
EHC Biel-Bienne,EHCB,2021/2022,51,87,1.71,3093.4,32.89,34.81,32.3,154,128,26,145,122,23,2.81,2.37,2507.9,114,86,28,2.73,2.06,308.3,188,19.68,37,7,30,7.2,277.3,171,80.7,2,33,-31,7.14,8,4,1,2,9.0,91.66,100.65,2975,57.7,2642,51.24,52.96,2223,43.12,1956,37.94,53.19,1620,31.42,1466,28.43,52.5,108.95,573,30,752,463,27,686,1406,1494,48.48,1,199,5,1,4,513,5865,5263,6444
Lausanne HC,LHC,2021/2022,51,87,1.71,3074.9,39.67,30.0,30.33,155,143,12,150,136,14,2.93,2.65,2524.5,122,100,22,2.9,2.38,266.1,162,17.9,29,1,28,6.54,284.3,178,77.53,4,40,-36,8.44,5,5,0,2,9.26,90.44,99.7,3045,59.42,2685,52.39,53.14,2175,42.44,1948,38.01,52.75,1624,31.69,1427,27.84,53.23,111.81,527,24,870,503,18,737,1345,1440,48.29,2,197,9,4,6,599,6042,6052,6030
HC Lugano,HCL,2021/2022,52,76,1.46,3152.7,34.04,32.44,33.52,160,158,2,148,156,-8,2.82,2.97,2545.0,112,118,-6,2.64,2.78,275.3,174,20.69,36,7,29,7.85,332.3,207,84.06,9,33,-24,5.96,9,2,3,0,8.06,90.19,98.25,3313,63.05,2864,54.51,53.63,2475,47.1,2127,40.48,53.78,1846,35.13,1592,30.3,53.69,117.56,583,46,838,509,26,737,1642,1568,51.15,4,234,4,7,6,678,5647,4960,6334
HC Ambri-Piotta,HCAP,2021/2022,52,66,1.27,3138.1,35.77,34.28,29.96,131,145,-14,127,138,-11,2.43,2.64,2506.6,100,101,-1,2.39,2.42,307.9,193,13.47,26,6,20,5.07,323.6,204,81.86,4,37,-33,6.86,3,6,1,1,7.92,91.24,99.16,3056,58.43,2942,56.25,50.95,2155,41.2,2119,40.51,50.42,1607,30.73,1582,30.25,50.39,114.68,526,22,901,504,33,823,1408,1639,46.21,3,225,3,0,3,525,6132,6017,6246
SC Bern,SCB,2021/2022,52,65,1.25,3155.4,30.05,35.72,34.23,136,148,-12,135,133,2,2.57,2.53,2601.3,108,112,-4,2.49,2.58,266.3,164,15.24,25,3,22,5.63,287.9,172,83.72,3,28,-25,5.84,1,10,0,5,8.59,92.05,100.63,2895,55.05,3306,62.86,46.69,2121,40.33,2347,44.63,47.47,1573,29.91,1682,31.98,48.33,117.91,527,21,774,636,29,959,1430,1486,49.04,1,198,4,1,5,526,9665,13348,5982
SCL Tigers,SCLT,2021/2022,50,35,0.7,3018.8,18.87,31.17,49.97,129,205,-76,126,196,-70,2.5,3.9,2481.7,94,150,-56,2.27,3.63,245.3,146,19.18,28,5,23,6.85,291.9,190,74.21,7,49,-42,10.07,3,8,0,1,8.73,88.46,97.18,2766,54.98,3178,63.16,46.53,1990,39.55,2382,47.34,45.52,1447,28.76,1706,33.91,45.89,118.14,518,25,776,641,35,796,1502,1442,51.02,2,194,7,1,6,553,5406,4742,6019
HC Ajoie,HCA,2021/2022,51,26,0.51,3074.1,10.69,28.89,60.43,89,224,-135,86,215,-129,1.68,4.2,2541.3,59,172,-113,1.39,4.06,283.5,161,16.77,27,8,19,5.71,249.3,152,71.71,2,43,-41,10.35,2,8,1,1,6.94,89.07,96.01,2484,48.48,3593,70.13,40.88,1744,34.04,2620,51.14,39.96,1241,24.22,1975,38.55,38.59,118.61,466,37,740,607,38,973,1309,1478,46.97,3,166,1,2,1,377,4950,3626,6327
EHC Biel-Bienne,EHCB,2022/2023,52,101,1.94,3146.6,42.15,30.19,27.66,174,132,42,167,127,40,3.18,2.42,2636.2,136,100,36,3.1,2.28,251.6,158,22.15,35,1,34,8.35,258.9,172,82.56,1,30,-29,6.95,5,4,2,1,11.67,91.62,103.29,2720,51.87,2856,54.46,48.78,2004,38.21,2139,40.79,48.37,1436,27.38,1520,28.98,48.58,106.32,540,28,716,577,42,717,1368,1380,49.78,1,192,5,0,5,509,6462,5843,7081
Genève-Servette HC,GSHC,2022/2023,52,101,1.94,3159.5,41.56,33.85,24.58,185,140,45,168,134,34,3.19,2.54,2605.5,129,97,32,2.97,2.23,258.5,167,28.14,47,4,43,10.91,295.5,178,79.21,6,37,-31,7.51,14,4,3,2,11.0,90.73,101.74,2825,53.65,2716,51.58,50.98,2093,39.75,1962,37.26,51.62,1541,29.26,1450,27.54,51.52,105.22,525,27,732,476,36,754,1456,1322,52.41,3,212,5,0,5,549,6613,6264,6962
SC Rapperswil-Jona Lakers,SCRJ,2022/2023,52,92,1.77,3157.9,40.84,36.34,22.82,183,133,50,169,125,44,3.21,2.37,2626.6,136,99,37,3.11,2.26,283.1,178,23.03,41,3,38,8.69,248.2,158,81.65,2,29,-27,7.01,10,6,4,2,11.37,91.26,102.64,2868,54.49,2743,52.12,51.11,2059,39.12,1942,36.9,51.46,1496,28.42,1437,27.3,51.01,106.61,526,37,809,481,24,801,1423,1317,51.93,1,174,6,0,7,518,6022,4956,7088
ZSC Lions,ZSC,2022/2023,52,88,1.69,3160.7,34.86,38.38,26.76,150,123,27,138,121,17,2.62,2.3,2549.7,101,81,20,2.38,1.91,299.2,180,22.22,40,2,38,8.02,311.8,195,80.0,4,39,-35,7.5,7,1,5,1,8.53,92.2,100.74,3035,57.61,2898,55.01,51.15,2216,42.07,2081,39.5,51.57,1624,30.83,1553,29.48,51.12,112.63,553,39,819,497,31,817,1580,1450,52.15,1,223,4,1,2,516,9099,11459,6738
HC Davos,HCD,2022/2023,52,83,1.6,3199.7,28.83,36.48,34.69,149,138,11,139,126,13,2.61,2.36,2653.4,102,110,-8,2.31,2.49,266.3,164,21.95,36,2,34,8.11,280.0,155,88.39,6,18,-12,3.86,5,4,5,8,8.66,91.67,100.32,3038,56.97,2827,53.01,51.8,2271,42.59,2048,38.4,52.58,1611,30.21,1516,28.43,51.52,109.98,626,34,767,497,35,779,1464,1455,50.15,4,183,2,1,2,426,6207,4978,7436
EV Zug,EVZ,2022/2023,52,82,1.58,3159.5,28.76,33.7,37.53,165,154,11,153,143,10,2.91,2.72,2658.6,111,109,2,2.51,2.46,279.4,183,26.23,48,4,44,10.31,221.5,143,72.73,2,39,-37,10.56,8,9,4,2,9.16,89.43,98.59,3283,62.35,2569,48.79,56.1,2333,44.3,1857,35.27,55.68,1678,31.87,1362,25.86,55.2,111.13,598,57,950,462,33,712,1466,1367,51.75,0,158,2,0,2,366,6984,6975,6992
HC Fribourg-Gottéron,HCFG,2022/2023,52,81,1.56,3161.8,38.38,31.6,30.02,155,136,19,145,122,23,2.75,2.32,2642.5,102,95,7,2.32,2.16,296.4,190,26.84,51,3,48,10.33,222.9,133,75.19,1,33,-32,8.88,9,9,1,5,8.78,90.7,99.48,3052,57.92,2702,51.27,53.04,2256,42.81,1874,35.56,54.62,1661,31.52,1321,25.07,55.7,109.19,549,46,796,523,30,828,1429,1380,50.87,1,149,3,0,2,353,8021,8922,7119
SC Bern,SCB,2022/2023,52,74,1.42,3172.3,32.06,34.24,33.7,150,158,-8,143,142,1,2.7,2.69,2633.8,108,108,0,2.46,2.46,302.2,187,21.39,40,7,33,7.94,236.2,155,75.48,2,38,-36,9.65,7,11,0,5,8.32,90.91,99.23,3148,59.54,2987,56.5,51.31,2298,43.46,2113,39.96,52.1,1726,32.65,1574,29.77,52.3,116.04,537,35,850,502,37,874,1354,1467,48.0,1,186,5,1,4,487,10706,14750,6662
EHC Kloten,EHCK,2022/2023,52,73,1.4,3162.2,29.94,32.54,37.52,140,173,-33,131,162,-31,2.49,3.07,2564.8,84,122,-38,1.97,2.85,295.2,187,24.6,46,3,43,9.35,302.2,192,76.56,6,45,-39,8.94,5,8,4,3,8.82,90.5,99.31,2771,52.58,3143,59.64,46.85,1982,37.61,2333,44.27,45.93,1491,28.29,1713,32.5,46.54,112.21,467,24,789,563,57,810,1437,1524,48.53,1,224,2,0,2,498,6551,6109,6993
HC Lugano,HCL,2022/2023,52,72,1.38,3150.2,37.77,32.12,30.12,147,163,-16,134,150,-16,2.55,2.86,2600.1,109,110,-1,2.52,2.54,257.0,161,16.77,27,5,22,6.3,293.0,190,75.26,7,47,-40,9.62,9,12,4,1,7.7,89.9,97.6,3112,59.27,2828,53.86,52.39,2368,45.1,2095,39.9,53.06,1749,33.31,1497,28.51,53.88,113.14,587,32,744,577,21,733,1469,1423,50.8,1,216,4,0,4,532,6026,5026,7026
Lausanne HC,LHC,2022/2023,52,71,1.37,3165.2,31.34,36.12,32.54,139,160,-21,128,153,-25,2.43,2.9,2585.0,105,109,-4,2.44,2.53,266.3,157,16.56,26,2,24,5.86,313.9,195,75.9,4,47,-43,8.98,7,5,4,2,7.52,90.4,97.92,3225,61.13,2888,54.75,52.76,2339,44.34,2119,40.17,52.47,1709,32.4,1598,30.29,51.68,115.88,578,52,886,489,32,769,1442,1437,50.09,3,218,7,0,5,571,6925,7099,6751
HC Ambri-Piotta,HCAP,2022/2023,52,66,1.27,3173.7,27.36,32.59,40.05,151,163,-12,143,152,-9,2.7,2.87,2630.1,106,122,-16,2.42,2.78,251.3,164,22.56,37,4,33,8.83,292.2,180,80.56,6,35,-29,7.19,6,9,2,2,9.24,90.83,100.08,2955,55.87,3138,59.33,48.5,2124,40.16,2319,43.84,47.81,1553,29.36,1667,31.52,48.23,115.19,537,34,831,618,34,819,1400,1667,45.65,3,218,5,0,6,581,6939,6480,7398
SCL Tigers,SCLT,2022/2023,52,60,1.15,3152.3,29.43,33.0,37.57,124,167,-43,119,155,-36,2.27,2.95,2578.1,95,115,-20,2.21,2.68,270.6,161,14.91,24,7,17,5.32,303.6,180,76.67,5,42,-37,8.3,5,9,0,3,9.19,91.54,100.73,2533,48.21,3363,64.01,42.96,1767,33.63,2540,48.35,41.03,1300,24.74,1842,35.06,41.37,112.22,445,22,766,661,37,823,1428,1476,49.17,2,199,6,0,5,528,5939,4991,6888
HC Ajoie,HCA,2022/2023,52,48,0.92,3157.9,19.57,33.33,47.11,120,192,-72,113,178,-65,2.15,3.38,2612.8,94,141,-47,2.16,3.24,274.1,156,14.74,23,7,16,5.03,271.1,167,74.85,2,42,-40,9.3,6,12,1,2,8.44,90.42,98.86,2539,48.24,3446,65.47,42.42,1840,34.96,2528,48.03,42.12,1345,25.55,1870,35.53,41.84,113.71,469,26,699,614,44,918,1396,1447,49.1,5,191,7,0,6,537,5583,4222,6943
