"Team","SuccessfulEntries %against","% Entries triedin Controlagainst","ControlledEntries %against","ControlledEntries Success %against","Dump-insSuccess %against"
"SCB","54.2","62.4","47.2","75.7","18.4"
"SCRJ","55.5","64.9","48.8","75.2","19"
"LHC","55.9","64.4","48.9","76","19.5"
"EVZ","55.9","64.8","49.4","76.2","18.4"
"GSHC","56","66","49.8","75.4","18.2"
"EHCB","56.5","66.1","50.9","77","16.5"
"SCLT","60.7","66.6","51.2","76.8","28.4"
"ZSC","57","65.8","51.3","78","16.7"
"League","57.7","66.4","51.3","77.2","19.3"
"HCFG","58.5","67.5","51.9","76.8","20.4"
"HCD","58","68.3","52.3","76.6","18"
"HCL","60.8","68.5","54.1","79","21.2"
"EHCK","60.7","68.7","54.3","79.1","20.5"
"HCAP","61","68.5","54.4","79.5","21"
"HCA","66.3","72.1","60.1","83.4","22.4"